no;lat;lng
1;3.108.459;101.671.521
2;3.166.217;10.164.277
3;305.843;10.167.498
4;3.146.544;101.706.784
5;3.072.845;101.700.153
6;3.152.029;101.738.007
7;3.152.173;101.712.648
8;3.151.061;101.663.871
9;3.083.242;10.167.733
10;3.141.341;101.663.463
11;3.105.678;101.694.635
12;3.064.236;101.664.215
13;3.121.171;101.717.927
14;3.067.502;101.692.019
15;3.065.109;101.646.264
16;3.052.501;10.167.963
17;3.083.912;101.661.227
18;3.061.046;101.677.518
19;3.130.041;101.750.234
20;3.127.796;101.750.368
21;3.097.377;101.682.947
22;3.059.759;101.711.576
23;3.113.464;101.664.441
24;3.166.831;101.703.221
25;3.130.771;10.174.995
26;3.079.034;101.686.231
27;309.524;101.674.533
28;3.147.968;101.742.444
29;3.083.465;101.668.318
30;3.166.831;101.703.221
31;3.064.137;101.705.314
32;305.529;101.668.951
33;3.059.871;101.673.234
34;3.066.191;101.690.774
35;3.149.281;101.735.996
36;3.108.877;101.670.076
37;3.067.579;101.668.615
38;3.091.358;101.690.905
39;3.096.117;101.685.107
40;3.053.626;101.676.376
41;3.094.978;101.674.041
42;3.130.041;101.750.234
43;3.106.509;101.668.296
44;3.084.951;101.671.428
45;3.148.252;101.702.792
46;3.095.703;101.683.532
47;3.133.536;101.742.809
48;305.843;10.167.498
49;3.104.909;101.668.287
50;3.065.987;101.709.171
51;3.126;10.172.151
52;3.148.161;101.737.342
53;3.067.579;101.668.615
54;3.141.141;101.737.405
55;3.051.348;101.687.594
56;3.085.869;101.674.712
57;3.158.705;101.713.661
58;3.133.195;101.707.532
59;3.104.958;101.668.967
60;3.134.903;101.727.168
61;3.170.908;101.697.773
62;3.053.154;101.717.761
63;3.090.859;101.670.874
64;3.072.154;101.662.664
65;3.120.351;101.681.775
66;3.051.348;101.687.594
67;3.154.326;101.736.773
68;3.109.488;101.671.171
69;3.147.903;101.718.736
70;3.131.597;101.754.116
71;3.149.493;101.713.961
72;3.168.074;101.693.663
73;3.106.509;101.668.296
74;313.553;10.170.696
75;3.158.191;101.725.983
76;3.157.863;101.717.783
77;3.149.417;101.737.107
78;3.129.281;101.708.995
79;3.113.464;101.664.441
80;3.164.323;101.692.679
81;3.128.086;10.175.715
82;3.129.303;101.747.355
83;3.132.004;101.764.826
84;3.160.603;101.724.738
85;3.126.958;101.724.616
86;3.133.894;101.708.164
87;3.113.885;101.678.845
88;313.478;101.756.574
89;3.169.135;101.655.629
90;3.146.734;101.741.441
91;3.109.443;101.663.845
92;306.848;101.657.397
93;3.126.958;101.724.616
94;3.156.143;101.698.036
95;3.119.822;101.685.949
96;3.105.652;101.677.087
97;3.157.907;101.721.383
98;3.073.447;101.682.626
99;3.074.967;10.168.427
100;3.131.667;101.764.532
101;3.065.727;101.683.379
102;3.152.029;101.738.007
103;3.103.632;101.665.248
104;3.145.166;101.713.018
105;3.169.759;101.702.763
106;3.164.297;101.694.947
107;3.144.795;101.704.349
108;3.088.259;101.686.607
109;3.154.544;101.709.009
110;3.102.885;101.661.958
111;3.151.231;101.714.451
112;3.063.829;101.667.717
113;3.153.416;101.706.736
114;3.149.679;101.749.218
115;3.172.067;101.663.161
116;3.170.984;101.665.914
117;3.105.798;101.666.086
118;3.053.693;101.670.463
119;3.149.493;101.713.961
120;312.653;101.711.896
121;3.105.798;101.666.086
122;316.922;101.654.854
123;3.173.857;101.656.052
124;3.089.959;101.674.861
125;3.076.802;101.664.941
126;3.056.255;101.666.065
127;3.072.557;10.167.305
128;306.448;101.665.882
129;3.162.008;101.653.232
130;310.822;101.665.804
131;3.129.303;101.747.355
132;3.093.203;101.685.148
133;3.131.132;101.748.192
134;3.064.348;101.697.051
135;3.079.125;101.682.753
136;3.072.124;10.165.719
137;3.106.509;101.668.296
138;3.153.032;10.171.458
139;3.168.533;10.171.008
140;3.099.493;101.689.334
141;3.153.032;10.171.458
142;3.056.163;101.670.183
143;3.117.046;101.681.084
144;3.064.629;101.696.061
145;3.063.331;101.670.035
146;3.088.259;101.686.607
147;3.068.284;101.663.025
148;3.060.025;101.680.202
149;3.058.685;101.713.534
150;3.152.029;101.738.007
151;3.063.331;101.670.035
152;3.125.193;101.708.642
153;3.128.918;101.677.071
154;3.124.363;101.670.409
155;3.099.274;101.686.031
156;306.996;101.663.094
157;3.131.553;101.755.034
158;3.139.042;101.660.873
159;3.173.112;101.694.565
160;3.108.874;101.678.099
161;3.121.286;101.686.241
162;3.154.294;101.698.303
163;3.111.316;101.684.869
164;3.066.598;101.712.748
165;313.988;101.668.386
166;3.064.326;101.685.735
167;3.105.763;101.694.701
168;3.109.443;101.663.845
169;3.082.689;101.661.855
170;3.083.912;101.661.227
171;3.161.482;10.171.762
172;317.119;101.665.917
173;3.059.184;101.685.119
174;3.115.902;10.168.342
175;3.105.682;101.694.635
176;3.077.022;101.686.831
177;31.656;101.701.012
178;3.058.944;101.670.025
179;3.173.392;101.658.649
180;3.136.189;101.751.708
181;3.134.168;101.752.145
182;3.170.098;101.657.538
183;3.132.229;101.744.964
184;3.138.682;101.707.329
185;3.129.815;101.754.825
186;3.153.032;10.171.458
187;3.056.163;101.670.183
188;3.132.307;10.172.078
189;3.123.343;101.671.612
190;3.127.686;101.677.515
191;3.171.182;101.696.457
192;3.156.158;101.710.743
193;3.075.406;101.677.898
194;3.128.434;101.670.078
195;3.128.434;101.670.078
196;3.127.774;10.168.019
197;3.138.478;101.659.756
198;3.138.478;101.659.756
199;316.296;101.717.045
200;3.136.306;101.675.713
201;3.146.148;101.710.151
202;3.169.135;101.655.629
203;3.130.495;101.668.145
204;3.133.666;101.665.968
205;3.125.818;10.167.532
206;3.158.792;101.717.305
207;3.152.583;101.737.466
208;3.164.602;101.658.288
209;313.536;10.174.014
210;3.065.354;101.652.005
211;3.100.699;101.676.317
212;3.134.903;101.727.168
213;3.133.807;10.167.507
214;306.448;101.665.882
215;3.134.903;101.727.168
216;3.069.043;101.698.479
217;3.137.056;101.657.843
218;3.104.931;101.677.124
219;3.109.545;101.662.708
220;3.161.204;101.645.275
221;3.105.678;101.694.635
222;3.121.236;101.667.029
223;3.122.262;101.670.143
224;3.097.467;101.679.169
225;314.139;101.743.775
226;3.171.182;101.696.457
227;314.484;101.665.991
228;3.131.783;101.667.529
229;3.168.135;101.642.516
230;3.143.141;101.653.041
231;3.139.909;101.738.282
232;3.173.392;101.658.649
233;3.053.626;101.676.376
234;3.072.031;101.688.235
235;3.118.164;101.682.265
236;316.815;101.652.654
237;3.132.565;101.706.784
238;3.162.674;101.695.914
239;3.172.067;101.663.161
240;3.118.194;101.713.453
241;3.149.417;101.737.107
242;3.110.294;101.677.712
243;3.076.408;101.684.851
244;3.139.055;101.658.859
245;3.141.141;101.737.405
246;3.082.689;101.661.855
247;3.146.348;10.173.362
248;3.082.403;101.665.805
249;3.156.682;101.709.233
250;3.164.383;101.692.761
251;3.148.659;101.707.035
252;3.099.368;101.687.098
253;3.162.985;101.651.516
254;3.091.506;101.676.887
255;3.091.506;101.676.887
256;3.091.506;101.676.887
257;3.158.324;101.705.323
258;3.115.197;101.689.642
259;3.102.885;101.661.958
260;3.091.506;101.676.887
261;3.063.331;101.670.035
262;3.091.506;101.676.887
263;3.066.465;101.686.803
264;3.148.665;101.659.223
265;3.159.679;101.643.997
266;3.104.931;101.677.124
267;3.104.931;101.677.124
268;3.104.931;101.677.124
269;3.169.135;101.655.629
270;3.081.706;101.688.023
271;3.152.568;101.661.538
272;3.139.042;101.660.873
273;3.104.931;101.677.124
274;306.654;10.166.884
275;3.135.428;101.741.466
276;3.126.016;101.749.129
277;310.671;101.671.171
278;3.149.417;101.737.107
279;3.149.417;101.737.107
280;3.052.501;10.167.963
281;3.156.158;101.710.743
282;3.164.323;101.692.679
283;3.124.073;101.669.556
284;312.923;101.682.179
285;3.142.781;101.735.731
286;3.133.749;101.687.513
287;3.150.783;101.708.697
288;3.122.532;101.718.994
289;3.152.029;101.738.007
290;3.075.264;101.673.589
291;3.141.141;101.737.405
292;3.129.626;101.670.946
293;3.104.931;101.677.124
294;3.075.264;101.673.589
295;3.051.348;101.687.594
296;3.095.708;101.687.775
297;3.075.264;101.673.589
298;3.075.264;101.673.589
299;3.052.265;101.673.254
300;3.075.264;101.673.589
301;3.108.874;101.678.099
302;3.170.748;10.165.937
303;3.168.074;101.693.663
304;3.065.779;101.699.786
305;3.056.255;101.666.065
306;3.070.488;101.657.498
307;3.050.131;101.684.352
308;3.100.257;101.673.939
309;3.072.058;101.661.818
310;3.124.073;101.669.556
311;3.153.223;101.715.675
312;3.101.142;101.676.271
313;3.171.339;101.710.138
314;3.170.748;10.165.937
315;316.815;101.652.654
316;306.172;10.166.564
317;3.084.896;101.678.511
318;3.169.908;101.664.587
319;3.105.737;101.686.426
320;3.070.488;101.657.498
321;3.170.412;101.649.556
322;3.168.533;10.171.008
323;3.070.574;101.696.883
324;3.143.345;101.735.319
325;316.998;101.655.299
326;3.159.606;101.733.452
327;3.076.321;101.669.054
328;3.160.454;101.731.562
329;3.141.348;101.707.819
330;3.087.496;101.681.113
331;3.140.537;101.711.333
332;3.150.487;101.717.816
333;3.149.054;10.171.136
334;3.054.918;101.674.904
335;307.032;101.665.642
336;3.152.029;101.738.007
337;307.094;10.166.898
338;3.137.764;101.752.314
339;3.167.757;1.016.507
340;3.116.639;101.690.171
341;310.822;101.665.804
342;3.063.331;101.670.035
343;3.158.827;101.658.699
344;3.167.757;1.016.507
345;3.128.106;101.680.327
346;3.148.669;101.737.736
347;3.154.852;101.653.131
348;310.822;101.665.804
349;3.052.265;101.673.254
350;3.110.396;10.166.912
351;3.143.072;101.708.871
352;3.136.742;101.689.507
353;3.148.622;101.742.732
354;3.122.279;101.675.241
355;3.152.152;101.712.924
356;3.131.093;101.765.283
357;3.130.744;101.684.002
358;3.113.827;101.663.025
359;3.151.309;101.671.659
360;3.137.045;101.667.295
361;3.065.995;101.687.046
362;306.448;101.665.882
363;3.129.726;101.721.456
364;3.054.709;101.675.338
365;316.815;101.652.654
366;316.815;101.652.654
367;3.051.958;101.685.723
368;3.103.339;101.689.317
369;3.156.138;10.164.741
370;3.145.459;101.667.414
371;3.163.901;101.690.729
372;3.097.467;101.679.169
373;3.097.555;101.685.312
374;3.148.926;101.659.717
375;3.113.269;101.680.346
376;3.097.555;101.685.312
377;3.066.857;101.678.691
378;3.114.148;101.664.304
379;310.621;101.667.215
380;3.105.968;101.688.336
381;3.104.567;101.683.669
382;3.058.252;101.667.842
383;3.137.711;101.675.862
384;3.173.392;101.658.649
385;3.165.658;10.164.879
386;3.151.204;10.171.713
387;3.152.029;101.738.007
388;316.322;10.170.329
389;3.163.314;101.655.578
390;3.129.303;101.747.355
391;3.068.022;101.682.931
392;3.155.803;101.651.271
393;3.169.135;101.655.629
394;3.169.135;101.655.629
395;314.537;101.668.919
396;3.082.339;101.674.759
397;3.080.104;101.666.065
398;3.168.135;101.642.516
399;3.140.724;101.740.587
400;308.483;101.673.343
401;3.168.563;101.644.292
402;3.113.464;101.664.441
403;3.169.541;101.647.145
404;3.160.264;101.735.356
405;3.100.186;101.676.689
406;3.135.268;101.714.648
407;31.339;1.017.491
408;3.126.958;101.724.616
409;3.135.447;101.691.983
410;3.167.208;101.652.198
411;3.172.147;101.659.048
412;3.171.859;101.702.715
413;3.169.135;101.655.629
414;307.094;10.166.898
415;316.391;10.165.667
416;3.165.576;101.704.053
417;3.110.972;101.666.171
418;3.169.135;101.655.629
419;3.173.597;101.653.073
420;3.169.135;101.655.629
421;3.169.135;101.655.629
422;3.161.249;101.697.644
423;3.123.991;101.713.241
424;3.105.468;101.663.778
425;3.164.672;101.659.074
426;3.168.533;10.171.008
427;3.106.034;101.662.776
428;3.068.054;101.694.821
429;3.103.632;101.665.248
430;3.141.141;101.737.405
431;3.142.851;101.664.239
432;3.164.042;101.689.241
433;3.107.491;101.662.269
434;3.162.041;101.649.089
435;3.134.188;101.675.044
436;3.067.274;101.693.249
437;3.084.864;101.673.843
438;3.063.748;10.166.953
439;3.144.253;101.654.361
440;3.170.099;101.649.457
441;3.168.343;101.648.353
442;3.105.468;101.663.778
443;3.154.836;101.650.006
444;3.160.747;101.714.674
445;3.131.577;101.759.082
446;3.068.104;101.713.621
447;3.108.874;101.678.099
448;3.157.467;101.698.817
449;3.110.972;101.666.171
450;3.124.467;101.714.256
451;3.168.135;101.642.516
452;3.156.022;101.708.522
453;3.121.262;10.167.622
